track_id,acousticness,danceability,duration_ms,energy,genre,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4kV4N9D1iKVxx1KLvtTpjS,0.0421,0.726,190440,0.554,Dance,0.0,8,0.106,-5.29,0,0.0917,169.999,4,0.335
14msK75pk3pA33pzPVNtBF,0.578,0.725,178640,0.321,Dance,0.0,4,0.0884,-10.744,0,0.323,70.142,4,0.319
5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,201661,0.488,Dance,9.11e-06,9,0.0936,-7.05,1,0.0705,136.041,4,0.533
1TEL6MlSSVLSdhOSddidlJ,0.78,0.647,171573,0.309,Dance,7.41e-06,10,0.202,-7.948,0,0.0366,87.045,4,0.195
4uTvPEr01pjTbZgl7jcKBD,0.451,0.747,182000,0.458,Dance,0.0,9,0.252,-6.891,1,0.303,75.029,4,0.47
2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,Dance,0.0,4,0.102,-5.642,1,0.0658,106.96,4,0.435
2hloaUoRonYssMuqLCBLTX,0.0815,0.758,216893,0.665,Dance,0.000157,5,0.216,-5.188,0,0.0774,151.976,4,0.643
5Il6Oe7lr5XM7A0cWbVQtr,0.0268,0.847,267107,0.579,Dance,0.0545,4,0.102,-5.314,1,0.0719,137.998,4,0.569
0d2iYfpKoM0QCKvcLCkBao,0.555,0.56,173800,0.68,Dance,0.0,9,0.116,-7.648,0,0.321,89.391,4,0.319
3wFLWP0FcIqHK1wb1CPthQ,0.329,0.45,208880,0.619,Dance,0.0,0,0.319,-7.412,1,0.372,83.3,4,0.427
7COXchtUOMd6uIT6HvmRaI,0.176,0.599,162583,0.733,Dance,0.0,2,0.242,-7.058,1,0.203,102.211,4,0.534
25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,Dance,0.0,4,0.166,-4.724,1,0.0476,133.002,4,0.628
39LmTF9RgyakzSYX8txrow,0.378,0.729,212267,0.475,Dance,0.0,11,0.12,-4.985,1,0.0364,62.52,3,0.371
2qxmye6gAegTMjLKEBoR3d,0.74,0.652,169354,0.557,Dance,0.0,4,0.124,-5.714,0,0.0318,150.073,4,0.483
2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733,0.385,Dance,0.0,10,0.231,-6.362,1,0.0308,95.799,4,0.323
