track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,_target
6oLb4m0HlijuaxtQIbvAhp,0.00996,0.48,204373,0.676,0.642,7,0.116,-7.727,0,0.0631,144.514,4,0.199,Dance
0DOgMeHlNponAEqczZoxX0,0.452,0.39,239973,0.557,0.0,6,0.125,-6.344,1,0.0521,79.34,4,0.317,Dance
2qYIdNaktgtpaPHxDVMXbE,0.544,0.548,271868,0.542,0.0,4,0.148,-8.435,0,0.0409,83.106,4,0.389,Dance
32lm3769IRfcnrQV11LO4E,0.0426,0.723,243413,0.777,3.68e-06,10,0.0451,-3.503,1,0.108,91.017,4,0.961,Dance
2teUG0CMsLXoPgXNObEVm0,0.0762,0.505,266093,0.861,0.0844,0,0.309,-6.864,1,0.104,100.959,4,0.504,Dance
7g4mokbwKr5KXe4QK5YxLg,0.0598,0.696,185280,0.892,0.0,5,0.419,-4.826,1,0.0583,124.016,4,0.79,Dance
631U6DaszJisq3TiaQ0vTM,0.00253,0.698,219413,0.843,0.000454,4,0.124,-4.789,1,0.0544,105.83,4,0.894,Dance
5tAa8Uaqr4VvA3693mbIhU,0.423,0.665,190932,0.699,0.0,2,0.0969,-5.265,1,0.0578,124.896,4,0.585,Dance
3xbZU7KENdHZrX99VDNGwx,0.385,0.62,242800,0.723,0.0,7,0.437,-4.892,0,0.0518,145.946,4,0.638,Dance
762UXiwEHYY97VL45sAUPR,0.23,0.542,194907,0.654,0.0,11,0.241,-5.862,0,0.0537,144.971,4,0.563,Dance
1Vdi6aed78kVe8xSjX8qoN,0.0848,0.471,209143,0.56,0.000701,6,0.117,-9.546,1,0.0405,139.946,4,0.452,Dance
4RoArPM0AsuW3h8hW8xtnr,0.579,0.612,208967,0.694,0.0,5,0.0914,-7.363,1,0.0514,103.031,4,0.564,Dance
4sQmCQUZcnBPaVm4dEUKv7,0.00816,0.658,237400,0.82,0.0,3,0.0839,-5.825,1,0.0674,112.938,4,0.697,Dance
2f52zfo41G8JSMfXsxt6Ma,0.0283,0.719,277528,0.559,0.0,2,0.0985,-6.344,0,0.138,78.02,4,0.418,Dance
1blxMGAKo9uttR9bHsXCOV,0.00832,0.47,234600,0.886,0.00164,0,0.11,-6.147,1,0.0752,139.046,4,0.119,Dance
21pCToQdqcPi879auxjxKe,0.156,0.572,262840,0.503,0.0,9,0.346,-7.334,0,0.0858,103.215,4,0.553,Dance
38iU2jg98IZZEIJPrP7aWD,0.0228,0.693,237947,0.705,0.0,11,0.202,-5.747,1,0.0665,131.951,4,0.45,Dance
0qj5CFiKNj5bW4mWx4J6Zy,0.00173,0.804,168093,0.898,2.84e-06,5,0.257,-5.769,1,0.0349,119.97,4,0.836,Dance
60c0p6GGnuwdKcQnmuM2zC,0.0473,0.404,233333,0.792,0.0,11,0.107,-2.67,1,0.0391,144.13,4,0.313,Dance
3Cn1FSSTXeQ7hCfrbizrD0,0.168,0.916,255773,0.85,0.000106,6,0.0904,-5.067,0,0.0634,121.001,4,0.972,Dance
79UX8fkSsowWI1HOd8VoYt,0.0129,0.702,159864,0.7,0.000888,10,0.0619,-4.387,0,0.0509,109.976,4,0.603,Dance
141UpF0ofvBWm3r5JQwZ83,0.341,0.723,160093,0.667,6.05e-06,0,0.135,-5.793,0,0.0313,75.029,4,0.618,Dance
2aOlxywgl4nCD4Xh2mLWM7,0.322,0.518,167079,0.842,0.0,1,0.101,-1.816,1,0.0828,125.854,4,0.375,Dance
19Fcrc0nJiwMKom00gS9SW,0.113,0.88,199400,0.775,0.00264,10,0.0943,-5.133,1,0.0952,96.507,4,0.284,Dance
3c6afiysmB7OnxQzzSqRfD,0.0665,0.656,261867,0.479,0.00272,10,0.168,-7.055,0,0.0348,184.374,4,0.708,Dance
3UX6x38e0JGFj6WgOLoW2q,0.00215,0.671,248744,0.738,5.77e-06,7,0.111,-6.011,0,0.0688,109.987,4,0.249,Dance
5jJPcImQkogKdwsVS36zH7,0.351,0.271,246704,0.486,0.156,3,0.0894,-11.956,0,0.0407,179.826,3,0.31,Dance
1F1XjwRzMh8KT2BvH6ISkG,0.182,0.476,276360,0.663,0.0,9,0.321,-6.905,1,0.191,74.884,4,0.525,Dance
4PYiIgzcp4o5pEYji1xY9q,0.0153,0.661,220653,0.733,0.0,3,0.0982,-2.701,0,0.0433,143.92,4,0.613,Dance
6CbcdeTQKj0qTaZTt0xkdk,0.263,0.717,262560,0.508,3.76e-06,10,0.062,-6.392,0,0.029,89.473,4,0.681,Dance
74fpNVAJrKGQuqHETi4WSt,0.0175,0.764,198907,0.547,0.000161,3,0.23,-8.6,1,0.0576,89.993,4,0.402,Dance
4Lfm2t5ziUrBcVTfOKVipH,0.236,0.679,215053,0.553,1.29e-06,10,0.0996,-5.787,1,0.0733,101.912,4,0.269,Dance
5xzCzOAOfRi4DOttSzvznR,0.0784,0.725,204022,0.834,1.27e-05,8,0.0834,-3.913,0,0.037,120.026,4,0.859,Dance
2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733,0.385,0.0,10,0.231,-6.362,1,0.0308,95.799,4,0.323,Dance
6r2BECwMgEoRb5yLfp0Hca,0.00327,0.587,260253,0.828,0.0,2,0.331,-5.108,1,0.161,123.907,4,0.494,Dance
0uXO2GrNiIb1xHT9LUdxZE,0.076,0.813,195853,0.627,0.000616,2,0.131,-5.018,0,0.0486,130.011,4,0.801,Dance
6OEyxxsvOEkQkOQBUKiFmL,0.293,0.878,185660,0.946,0.0,11,0.618,-4.544,0,0.462,133.924,4,0.8,Dance
6n7rJUcwmQDestMYXoSoZF,0.428,0.657,170716,0.757,0.0,3,0.0728,-5.257,0,0.0584,122.056,4,0.672,Dance
5iNGvCmcHnoTLPL8ewSyxf,0.549,0.785,229071,0.642,0.0,6,0.925,-10.146,1,0.364,140.013,3,0.375,Dance
2jjFo90fZtQrhPNrwRxN0C,0.275,0.569,264853,0.85,0.0057,7,0.297,-6.699,1,0.0538,160.043,4,0.792,Dance
0bSr5pybJSlgG5OZH441gF,0.163,0.69,255093,0.841,2.78e-06,0,0.0441,-13.357,1,0.0384,142.782,4,0.716,Dance
01Aj44KIjCrPmZeXq4UOky,0.163,0.412,236400,0.577,0.0,10,0.0969,-4.944,1,0.119,173.675,4,0.345,Dance
0fC0kT2VDxzl88yTkpd1cw,0.00486,0.689,299693,0.613,0.0,9,0.0533,-4.795,1,0.027,108.008,4,0.36,Dance
11QPUoy6AH0POlX1RgrEsn,0.00168,0.687,251429,0.95,0.0909,9,0.137,-2.207,1,0.05,125.995,4,0.754,Dance
6vt0I1cw1YmAIKDJvHVIM5,0.103,0.795,326280,0.596,0.0,2,0.164,-3.799,0,0.219,101.985,4,0.357,Dance
1M2nd8jNUkkwrc1dgBPTJz,0.156,0.429,265000,0.594,4.95e-06,7,0.1,-6.251,1,0.0277,150.22,4,0.236,Dance
7maTLYdnHDNsq3bB1tu2nH,0.334,0.398,243227,0.709,0.0,7,0.142,-4.602,0,0.211,78.089,1,0.714,Dance
1xy4apMFecGGkgBeaHFZ2M,0.0449,0.709,205267,0.562,0.0,8,0.217,-4.864,1,0.0724,125.965,4,0.386,Dance
1JAnC4VkVIbO7C6Vislnue,0.0302,0.712,183533,0.596,3.32e-06,4,0.13,-5.31,1,0.0761,95.994,4,0.879,Dance
18JosZY3HzD3lMy6iOOSAY,0.127,0.673,191573,0.592,0.0,9,0.336,-5.196,0,0.0537,142.222,3,0.705,Dance
