track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,_target
1VkFtVNjzveDk9o1xbrF8o,0.885,0.379,118620,0.09,0.0,5,0.148,-25.522,1,0.0786,170.898,4,0.469,Classical
7Cv324ndsMb3BHTPoVWVkc,0.803,0.193,251173,0.00709,0.208,10,0.0981,-33.602,0,0.0436,94.681,4,0.037,Classical
0V7cBkLxFYCQgYzT9J8JGh,0.779,0.175,200493,0.0267,0.0835,9,0.121,-26.274,0,0.0457,99.653,3,0.141,Classical
4wtZmt442YffH8xF94iF8W,0.923,0.153,586067,0.153,0.909,7,0.107,-15.13,1,0.0398,88.618,4,0.0603,Classical
3VOy7YKjHvTct0A5Y37vbK,0.725,0.424,567973,0.44,0.0213,0,0.251,-11.835,0,0.166,114.958,4,0.321,Classical
5o8lVfwAdQtaMv1YKecYfS,0.00315,0.537,223080,0.852,0.00223,4,0.194,-6.385,1,0.047,152.102,4,0.561,Classical
4NcsdKjSBxZmMP0N7DFrkJ,0.962,0.234,543000,0.158,0.861,6,0.133,-18.922,1,0.0388,142.999,4,0.0756,Classical
0q4XPi4qT3dFf4sO5QflQm,0.978,0.286,116920,0.045,0.263,2,0.112,-27.32,0,0.0431,89.694,3,0.0733,Classical
3je2Pw6vY94bRhqzC3gnDq,0.988,0.331,371280,0.0549,0.913,11,0.0894,-24.275,1,0.0429,133.342,4,0.0781,Classical
52X67Yzy5Bn0JKwzRWDEAs,0.916,0.22,247173,0.293,0.856,0,0.0736,-11.519,0,0.0349,96.366,3,0.165,Classical
3l788yTdoV7n74G5kDdeIQ,0.949,0.276,880240,0.0518,0.805,11,0.623,-24.648,1,0.0374,100.179,4,0.119,Classical
74ZO67W83WAwvOopHFiQ7j,0.987,0.173,286480,0.0446,0.00196,0,0.0994,-28.398,0,0.0496,70.054,3,0.0624,Classical
6iD31DuLHroAP9BsVcpEQW,0.966,0.198,238640,0.0721,0.00313,7,0.0856,-23.3,1,0.0576,77.299,3,0.0706,Classical
7ekIYM7PEFS47LwMes5Y5g,0.944,0.209,378307,0.136,0.866,3,0.107,-22.566,0,0.0421,89.706,3,0.302,Classical
5wQl3Ua6M5MJimtoxr5dWV,0.989,0.311,77427,0.0218,0.00215,10,0.0712,-22.905,0,0.0432,79.81,3,0.0369,Classical
5xIcEH86WMrKk1BU3BW1qW,0.961,0.402,75307,0.0773,0.0,10,0.43,-24.035,1,0.0673,128.796,4,0.277,Classical
5sT6LvWu2ByU7kk5YDJY3q,0.936,0.231,213427,0.0413,0.0,5,0.192,-31.403,1,0.0399,51.959,4,0.0514,Classical
1zz2CSclaxD3ql7M9Y8YI3,0.989,0.224,299253,0.0945,0.764,4,0.102,-16.475,1,0.0426,124.206,3,0.0574,Classical
4I1RVdVNYwCf17mqn0BiFA,0.984,0.31,130896,0.207,0.923,4,0.0924,-22.729,0,0.0336,134.997,4,0.282,Classical
0S0YKiEdR9cT9pYgEaTevF,0.991,0.0623,415800,0.0116,0.445,5,0.0816,-27.893,1,0.0567,65.057,3,0.0331,Classical
3fn0fTmsVSVFnTxhNiIuBn,0.992,0.0652,285680,0.0126,0.966,5,0.0894,-30.1,0,0.0378,69.677,5,0.0363,Classical
1mLBQJBtyOB5gFYi2I2imK,0.0627,0.661,403600,0.801,0.686,11,0.121,-6.365,1,0.0263,100.069,4,0.19,Classical
7Mauyxvao09cTu9rAuPlXt,0.987,0.302,498360,0.145,0.914,5,0.0877,-21.059,1,0.0425,74.579,4,0.418,Classical
5OgVysynvrlQMzNB0zRkVI,0.971,0.143,205613,0.192,0.0314,1,0.13,-20.805,1,0.0405,82.305,3,0.0743,Classical
1Occ7vsRlZiV5vfetYhtU9,0.957,0.403,101227,0.121,0.85,9,0.108,-20.111,1,0.0484,139.701,3,0.766,Classical
3cZcmftMeCOAGJhh8MwP4K,0.00155,0.348,316133,0.691,0.00534,10,0.343,-6.611,1,0.0315,185.077,4,0.193,Classical
2k20GyA1JKIPEmbXTBHuET,0.814,0.259,229413,0.325,1.92e-05,6,0.142,-9.619,1,0.0328,84.869,4,0.174,Classical
6LJBCZGBuZweQPd2YHEa07,0.731,0.343,212816,0.303,6.16e-06,4,0.115,-10.89,1,0.032,134.513,4,0.111,Classical
51ggHC0tSgltBPY2YOdVio,0.922,0.182,297413,0.0229,0.918,10,0.101,-30.171,0,0.0364,80.253,4,0.0309,Classical
11azjFN3PsLfWtclIaGTPz,0.964,0.332,726613,0.127,0.675,1,0.0676,-15.253,1,0.0397,86.633,4,0.327,Classical
1Ef5gIUyQs9JcZNUoB4Pql,0.978,0.204,402293,0.0795,0.399,0,0.107,-22.176,1,0.0362,87.096,4,0.0375,Classical
1zJj84bBPkaezJEqt5NQwm,0.994,0.111,564120,0.147,0.0709,2,0.0566,-22.979,1,0.0544,76.884,3,0.0386,Classical
0iiteHczcpMQs9FcpjaDYB,0.983,0.18,717520,0.0228,0.93,3,0.104,-27.71,1,0.0373,85.161,4,0.0424,Classical
03xxnNXmK7lJjW9hV2ldn8,0.901,0.198,141200,0.0313,0.866,6,0.0924,-26.69,1,0.0419,88.813,4,0.189,Classical
2OHnoGjn6X6kDwzO7Rw0Y9,0.791,0.345,577440,0.215,0.301,4,0.1,-22.581,1,0.0586,130.775,4,0.0908,Classical
6RcnKq4rb6oDJpk35mDbNd,0.845,0.26,235175,0.397,3.07e-05,8,0.162,-9.229,1,0.0329,63.948,3,0.165,Classical
7u5cNg0E6yqthRi5VpVbfr,0.93,0.0949,274680,0.193,0.872,2,0.0947,-14.48,0,0.0365,80.729,3,0.0922,Classical
55lQVNpZQBb65XSB8OqOyg,0.831,0.402,32831,0.0956,0.0,5,0.4,-24.119,1,0.066,99.077,4,0.608,Classical
5lC7Yz4AUa7asHgUeZlHgR,0.983,0.223,310307,0.166,0.953,0,0.0998,-15.123,1,0.0346,68.618,3,0.0568,Classical
2QwyfRiONW3O4Sp7O5XlEk,0.00636,0.187,261503,0.941,0.601,2,0.484,-9.103,0,0.0798,189.189,4,0.274,Classical
6rfHGP3yh9FWgPKfBPQZFe,0.846,0.233,189768,0.28,0.0,3,0.111,-10.17,1,0.0343,188.378,3,0.193,Classical
5iRGYeD8uvXXFJ9i3PIWbw,0.951,0.177,718307,0.0583,0.887,5,0.125,-19.956,1,0.0376,86.991,4,0.175,Classical
1DrWRp28MwuJiwhuFhMLyc,0.97,0.271,83507,0.269,0.193,3,0.586,-17.081,0,0.0341,145.554,3,0.38,Classical
1IsF8TjXjTDd7wZVX258zf,0.945,0.193,289067,0.295,0.00838,3,0.106,-9.688,0,0.0345,83.688,4,0.155,Classical
1xjL0J6RyY2UzH39hFgakW,0.978,0.19,190133,0.0144,0.193,0,0.0646,-35.651,0,0.0443,59.176,4,0.0542,Classical
0aET3rDZmDLcRYPkCMKiRL,0.994,0.444,68773,0.103,0.929,0,0.116,-20.791,1,0.0321,90.473,4,0.7,Classical
1gU5jNTPxkrF52O7vUTWzR,0.995,0.484,152933,0.0111,0.878,3,0.0556,-36.334,1,0.0384,121.708,4,0.2,Classical
0OpVTO02W16jEVbSwvOjRM,0.952,0.302,285373,0.0959,0.915,3,0.418,-22.569,1,0.0422,149.162,4,0.4,Classical
5UJu48EIiDXBoCQhRSqUYq,0.993,0.393,225011,0.114,0.888,0,0.147,-27.79,1,0.0365,129.119,4,0.385,Classical
5s8B58Hj2GlkAoo5V658bU,0.98,0.163,143267,0.0366,0.912,10,0.0908,-27.021,1,0.0451,84.642,3,0.17,Classical
